Method used: s_hog
-------------------------------------
Method used: s_hog
-------------------------------------
precision for c value 0.0001 is: 0.655967436322
precision for c value 0.001 is: 0.656770028717
precision for c value 0.01 is: 0.673571229641
precision for c value 0.1 is: 0.635389489328
precision for c value 1.0 is: 0.701149451277
precision for c value 10.0 is: 0.637795647588
precision for c value 100.0 is: 0.673770790227
precision for c value 1000.0 is: 0.737297049171
precision for c value 10000.0 is: 0.691997927572
*************************************


method: s_hog, c value: 0.0001, feature: img, precision: 0.142682614701
method: s_hog, c value: 0.0001, feature: motion, precision: 0.613413116252

*************************************

method: s_hog, c value: 0.0001, feature: img, precision: 0.135151313701
method: s_hog, c value: 0.0001, feature: motion, precision: 0.64425714458
method: s_hog, c value: 0.0001, feature: all, precision: 0.698764421863
method: s_hog, c value: 0.001, feature: img, precision: 0.159855288746
method: s_hog, c value: 0.001, feature: motion, precision: 0.637305377769
method: s_hog, c value: 0.001, feature: all, precision: 0.6381560933
method: s_hog, c value: 0.01, feature: img, precision: 0.163639429753
method: s_hog, c value: 0.01, feature: motion, precision: 0.612728973869
method: s_hog, c value: 0.01, feature: all, precision: 0.595814673529
method: s_hog, c value: 0.1, feature: img, precision: 0.180578431738
method: s_hog, c value: 0.1, feature: motion, precision: 0.585687113925
method: s_hog, c value: 0.1, feature: all, precision: 0.727737330871
method: s_hog, c value: 1.0, feature: img, precision: 0.276987113874
method: s_hog, c value: 1.0, feature: motion, precision: 0.584016102391
method: s_hog, c value: 1.0, feature: all, precision: 0.771735947083
method: s_hog, c value: 10.0, feature: img, precision: 0.276194265968
method: s_hog, c value: 10.0, feature: motion, precision: 0.222508867614
method: s_hog, c value: 10.0, feature: all, precision: 0.68917347707
method: s_hog, c value: 100.0, feature: img, precision: 0.337326788469
method: s_hog, c value: 100.0, feature: motion, precision: 0.509586528647
method: s_hog, c value: 100.0, feature: all, precision: 0.700981946172
method: s_hog, c value: 1000.0, feature: img, precision: 0.293730495619
method: s_hog, c value: 1000.0, feature: motion, precision: 0.505211078449
method: s_hog, c value: 1000.0, feature: all, precision: 0.60794398308
method: s_hog, c value: 10000.0, feature: img, precision: 0.081906150618
method: s_hog, c value: 10000.0, feature: motion, precision: 0.502868690797
method: s_hog, c value: 10000.0, feature: all, precision: 0.665491415452
method: a_hog, c value: 0.0001, feature: img, precision: 0.290509090087
method: a_hog, c value: 0.0001, feature: motion, precision: 0.748616039328
method: a_hog, c value: 0.0001, feature: all, precision: 0.763930761844
method: a_hog, c value: 0.001, feature: img, precision: 0.362035127676
method: a_hog, c value: 0.001, feature: motion, precision: 0.748721672364
method: a_hog, c value: 0.001, feature: all, precision: 0.76139365463
method: a_hog, c value: 0.01, feature: img, precision: 0.272742324735
method: a_hog, c value: 0.01, feature: motion, precision: 0.775867085037
method: a_hog, c value: 0.01, feature: all, precision: 0.781993900336
